replicateid,population,beta,eir,pfprunder5,pfpr2to10,pfprall
8262,797,0.156,14.2576,40.152175,28.7467166666667,19.7414083333333
8260,797,0.154,14.1705,41.4622,28.8596583333333,19.9887333333333
8219,797,0.114,9.82909,37.7015333333333,28.943375,19.3338916666667
8214,797,0.11,10.0189,37.2313333333333,28.962125,20.104975
8269,797,0.165,12.8634,39.630675,29.180575,20.505475
8282,797,0.178,13.5957,39.8280166666667,29.3240416666667,19.5725416666667
8241,797,0.137,10.1953,36.4085666666667,29.3370583333333,21.4769916666667
8225,797,0.119,10.6003,40.9249333333333,29.3535416666667,20.06825
8288,797,0.184,16.3379,44.4833833333333,29.4915083333333,18.7905
8248,797,0.144,10.0385,39.1605,29.7680833333333,19.485725
8358,797,0.25,20.5595,41.7105666666667,29.84905,22.014775
8210,797,0.105,11.6317,42.7212083333333,29.8812416666667,19.1330416666667
8283,797,0.179,13.3871,39.86685,30.0255416666667,21.3183416666667
8319,797,0.215,20.3132,45.7628333333333,30.0483083333333,21.4089083333333
8315,797,0.209,17.9175,41.0024083333333,30.2029,20.5015666666667
8270,797,0.166,14.1356,37.8784666666667,30.3956166666667,21.3544166666667
8305,797,0.195,17.236,45.2133416666667,30.4647416666667,20.8955666666667
8285,797,0.177,15.111,40.6111666666667,30.5690583333333,20.5611833333333
8291,797,0.182,16.8449,45.2158416666667,30.6600583333333,22.7794583333333
8296,797,0.19,14.7059,41.3058333333333,30.9072583333333,21.2365666666667
8341,797,0.232,21.6752,54.10095,30.9967833333333,23.641325
8309,797,0.203,16.6541,42.628275,31.1980666666667,20.812875
8238,797,0.135,10.4136,42.0812166666667,31.219575,21.3291333333333
8258,797,0.152,10.4542,39.281475,31.2412583333333,23.5441083333333
8246,797,0.139,13.9258,45.0671,31.2870583333333,20.5311416666667
8312,797,0.204,18.5139,41.7721666666667,31.2943666666667,21.097825
8251,797,0.146,15.3168,45.9394666666667,31.497525,20.3638416666667
8321,797,0.212,18.5301,44.5372666666667,31.5502416666667,22.5670166666667
8303,797,0.199,17.119,46.478575,31.6570833333333,22.2524416666667
8278,797,0.172,14.9855,46.0143916666667,31.7556166666667,21.71865
8272,797,0.163,12.4247,38.895475,31.8389916666667,20.2842
8234,797,0.129,9.78631,40.8792,31.8633833333333,21.0535166666667
8320,797,0.216,20.5458,43.5682333333333,31.8637083333333,20.3899333333333
