rho,source,destination,count
0.2,17,6,454
0.2,17,7,88
0.2,17,8,346
0.2,17,9,232
0.2,17,10,764
0.2,17,11,614
0.2,17,12,199
0.2,17,13,560
0.2,17,14,2689
0.2,17,15,1206
0.2,17,16,728
0.2,17,17,3625
0.2,17,18,234
0.2,17,19,848
0.2,17,20,292
0.2,17,21,804
0.2,17,22,344
0.2,17,23,603
0.2,17,24,923
0.2,17,25,2916
0.2,17,26,149
0.2,17,27,49
0.2,17,28,284
0.2,17,29,48
0.2,17,30,220
0.2,17,31,125
0.2,17,32,497
0.2,17,33,254
0.2,17,34,578
0.2,17,35,247
0.2,17,36,200
0.2,17,37,246
0.2,17,38,237
0.2,17,39,431
0.2,17,40,340
0.2,17,41,844
0.2,17,42,714
0.2,17,43,368
0.2,17,44,288
0.2,17,45,156
0.2,18,1,134
0.2,18,2,297
0.2,18,3,282
0.2,18,4,297
0.2,18,5,340
0.2,18,6,185
0.2,18,7,64
0.2,18,8,284
0.2,18,9,156
0.2,18,10,292
0.2,18,11,281
0.2,18,12,107
0.2,18,13,143
0.2,18,14,234
0.2,18,15,210
0.2,18,16,171
0.2,18,17,241
0.2,18,18,2202
0.2,18,19,491
0.2,18,20,385
0.2,18,21,153
0.2,18,22,99
0.2,18,23,832
0.2,18,24,335
0.2,18,25,840
0.2,18,26,115
0.2,18,27,50
0.2,18,28,229
0.2,18,29,29
0.2,18,30,131
0.2,18,31,84
0.2,18,32,222
0.2,18,33,98
0.2,18,34,190
0.2,18,35,94
0.2,18,36,89
0.2,18,37,141
0.2,18,38,166
0.2,18,39,304
0.2,18,40,327
0.2,18,41,1852
0.2,18,42,2287
0.2,18,43,600
0.2,18,44,307
0.2,18,45,153
0.2,19,1,444
0.2,19,2,892
0.2,19,3,965
0.2,19,4,2147
0.2,19,5,1781
0.2,19,6,580
0.2,19,7,145
0.2,19,8,646
0.2,19,9,457
0.2,19,10,574
0.2,19,11,488
0.2,19,12,169
0.2,19,13,341
0.2,19,14,1132
0.2,19,15,468
0.2,19,16,979
0.2,19,17,923
0.2,19,18,508
0.2,19,19,5364
0.2,19,20,1452
0.2,19,21,580
0.2,19,22,286
0.2,19,23,1096
0.2,19,24,661
0.2,19,25,1807
0.2,19,26,262
0.2,19,27,119
0.2,19,28,487
0.2,19,29,76
0.2,19,30,336
0.2,19,31,213
0.2,19,32,648
0.2,19,33,210
0.2,19,34,448
0.2,19,35,197
0.2,19,36,209
0.2,19,37,259
0.2,19,38,223
0.2,19,39,431
0.2,19,40,420
0.2,19,41,1258
0.2,19,42,2310
0.2,19,43,1489
0.2,19,44,693
0.2,19,45,338
0.2,20,1,183
0.2,20,2,493
0.2,20,3,492
0.2,20,4,701
0.2,20,5,659
0.2,20,6,237
0.2,20,7,65
0.2,20,8,370
0.2,20,9,235
0.2,20,10,299
0.2,20,11,268
0.2,20,12,80
0.2,20,13,164
0.2,20,14,506
0.2,20,15,214
0.2,20,16,245
0.2,20,17,301
0.2,20,18,466
0.2,20,19,1550
0.2,20,20,2630
0.2,20,21,257
0.2,20,22,125
0.2,20,23,480
0.2,20,24,302
0.2,20,25,766
0.2,20,26,136
0.2,20,27,60
0.2,20,28,242
0.2,20,29,41
0.2,20,30,185
0.2,20,31,92
0.2,20,32,318
0.2,20,33,100
0.2,20,34,215
0.2,20,35,91
0.2,20,36,114
0.2,20,37,139
0.2,20,38,112
0.2,20,39,236
0.2,20,40,205
0.2,20,41,831
0.2,20,42,2461
0.2,20,43,1317
0.2,20,44,438
0.2,20,45,189
0.2,21,1,273
0.2,21,2,371
0.2,21,3,204
0.2,21,4,1183
0.2,21,5,607
0.2,21,6,1193
0.2,21,7,124
0.2,21,8,416
0.2,21,9,286
0.2,21,10,577
0.2,21,11,607
0.2,21,12,152
0.2,21,13,544
0.2,21,14,2111
0.2,21,15,1087
0.2,21,16,386
0.2,21,17,730
0.2,21,18,143
0.2,21,19,507
0.2,21,20,160
0.2,21,21,3493
0.2,21,22,1032
0.2,21,23,288
0.2,21,24,553
0.2,21,25,1043
0.2,21,26,164
0.2,21,27,70
0.2,21,28,380
0.2,21,29,67
0.2,21,30,285
0.2,21,31,180
0.2,21,32,857
0.2,21,33,578
0.2,21,34,847
0.2,21,35,297
0.2,21,36,229
0.2,21,37,304
0.2,21,38,191
0.2,21,39,303
0.2,21,40,251
0.2,21,41,573
0.2,21,42,476
0.2,21,43,333
0.2,21,44,290
0.2,21,45,183
0.2,22,1,253
0.2,22,2,357
0.2,22,3,225
0.2,22,4,698
0.2,22,5,475
0.2,22,6,1018
0.2,22,7,137
0.2,22,8,425
0.2,22,9,308
0.2,22,10,703
0.2,22,11,947
0.2,22,12,294
0.2,22,13,717
0.2,22,14,900
0.2,22,15,1315
0.2,22,16,199
0.2,22,17,552
0.2,22,18,151
0.2,22,19,385
0.2,22,20,160
0.2,22,21,1642
0.2,22,22,3889
0.2,22,23,272
0.2,22,24,673
0.2,22,25,994
0.2,22,26,196
0.2,22,27,79
0.2,22,28,459
0.2,22,29,85
0.2,22,30,335
0.2,22,31,202
0.2,22,32,924
0.2,22,33,1350
0.2,22,34,2725
0.2,22,35,630
0.2,22,36,437
0.2,22,37,455
0.2,22,38,230
0.2,22,39,400
0.2,22,40,300
0.2,22,41,593
0.2,22,42,448
0.2,22,43,323
0.2,22,44,282
0.2,22,45,221
0.2,23,1,252
0.2,23,2,502
0.2,23,3,348
0.2,23,4,804
0.2,23,5,615
0.2,23,6,411
0.2,23,7,102
0.2,23,8,508
0.2,23,9,315
0.2,23,10,854
0.2,23,11,565
0.2,23,12,218
0.2,23,13,338
0.2,23,14,809
0.2,23,15,550
0.2,23,16,455
0.2,23,17,847
0.2,23,18,1032
0.2,23,19,1338
0.2,23,20,566
0.2,23,21,483
0.2,23,22,285
0.2,23,23,4807
0.2,23,24,1028
0.2,23,25,3822
0.2,23,26,216
0.2,23,27,78
0.2,23,28,415
0.2,23,29,73
0.2,23,30,293
0.2,23,31,142
0.2,23,32,467
0.2,23,33,220
0.2,23,34,485
0.2,23,35,204
0.2,23,36,220
0.2,23,37,342
0.2,23,38,346
0.2,23,39,720
0.2,23,40,708
0.2,23,41,3016
0.2,23,42,2284
0.2,23,43,740
0.2,23,44,460
0.2,23,45,275
0.2,24,1,226
0.2,24,2,382
0.2,24,3,248
0.2,24,4,624
0.2,24,5,476
0.2,24,6,421
0.2,24,7,107
0.2,24,8,412
0.2,24,9,285
0.2,24,10,4041
0.2,24,11,1525
0.2,24,12,584
0.2,24,13,1407
0.2,24,14,771
0.2,24,15,1527
0.2,24,16,259
0.2,24,17,821
0.2,24,18,323
0.2,24,19,600
0.2,24,20,240
0.2,24,21,573
0.2,24,22,415
0.2,24,23,749
0.2,24,24,7004
0.2,24,25,4647
0.2,24,26,190
0.2,24,27,75
0.2,24,28,406
0.2,24,29,69
0.2,24,30,290
0.2,24,31,132
0.2,24,32,466
0.2,24,33,282
0.2,24,34,922
0.2,24,35,459
0.2,24,36,477
0.2,24,37,578
0.2,24,38,863
0.2,24,39,2068
0.2,24,40,1119
0.2,24,41,2053
0.2,24,42,768
0.2,24,43,428
0.2,24,44,371
0.2,24,45,221
0.2,25,1,430
0.2,25,2,852
0.2,25,3,544
0.2,25,4,1468
0.2,25,5,1008
0.2,25,6,764
0.2,25,7,217
0.2,25,8,874
0.2,25,9,573
0.2,25,10,2842
0.2,25,11,1633
0.2,25,12,563
0.2,25,13,1308
0.2,25,14,2335
0.2,25,15,1990
0.2,25,16,837
0.2,25,17,2834
0.2,25,18,800
0.2,25,19,1739
0.2,25,20,651
0.2,25,21,1081
0.2,25,22,636
0.2,25,23,2752
0.2,25,24,4554
0.2,25,25,19163
0.2,25,26,338
0.2,25,27,146
0.2,25,28,743
0.2,25,29,117
0.2,25,30,497
0.2,25,31,291
0.2,25,32,942
0.2,25,33,468
0.2,25,34,1368
0.2,25,35,563
0.2,25,36,576
0.2,25,37,741
0.2,25,38,853
0.2,25,39,1961
0.2,25,40,1574
0.2,25,41,4375
0.2,25,42,2076
0.2,25,43,969
0.2,25,44,700
0.2,25,45,446
0.2,26,1,592
0.2,26,2,1184
0.2,26,3,438
0.2,26,4,436
0.2,26,5,573
0.2,26,6,361
0.2,26,7,424
0.2,26,8,6195
0.2,26,9,1249
0.2,26,10,325
0.2,26,11,398
0.2,26,12,138
0.2,26,13,171
0.2,26,14,308
0.2,26,15,251
0.2,26,16,133
0.2,26,17,212
0.2,26,18,162
0.2,26,19,344
0.2,26,20,172
0.2,26,21,231
0.2,26,22,204
0.2,26,23,223
0.2,26,24,311
0.2,26,25,533
0.2,26,26,9765
0.2,26,27,1620
0.2,26,28,3897
0.2,26,29,202
0.2,26,30,909
0.2,26,31,422
0.2,26,32,683
0.2,26,33,199
0.2,26,34,310
0.2,26,35,174
0.2,26,36,184
0.2,26,37,320
0.2,26,38,175
0.2,26,39,234
0.2,26,40,296
0.2,26,41,605
0.2,26,42,533
0.2,26,43,592
0.2,26,44,1139
0.2,26,45,1590
0.2,27,1,203
0.2,27,2,331
0.2,27,3,143
0.2,27,4,178
0.2,27,5,214
0.2,27,6,150
0.2,27,7,183
0.2,27,8,1525
0.2,27,9,398
0.2,27,10,128
0.2,27,11,152
0.2,27,12,56
0.2,27,13,83
0.2,27,14,118
0.2,27,15,90
0.2,27,16,58
0.2,27,17,89
0.2,27,18,68
0.2,27,19,140
0.2,27,20,65
0.2,27,21,99
0.2,27,22,72
0.2,27,23,107
0.2,27,24,109
0.2,27,25,169
0.2,27,26,1615
0.2,27,27,3611
0.2,27,28,3025
0.2,27,29,93
0.2,27,30,495
0.2,27,31,154
0.2,27,32,261
0.2,27,33,76
0.2,27,34,143
0.2,27,35,94
0.2,27,36,79
0.2,27,37,101
0.2,27,38,64
0.2,27,39,98
0.2,27,40,105
0.2,27,41,241
0.2,27,42,210
0.2,27,43,183
0.2,27,44,327
0.2,27,45,331
